team1,team2,winner,margin,venue,match_date,match_no
England,South Africa,no result,Manchester,"Sep 10, 2012",T20I # 260,
India,New Zealand,New Zealand,1 run,Chennai,"Sep 11, 2012",T20I # 261
England,South Africa,England,28 runs,Birmingham,"Sep 12, 2012",T20I # 262
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,"Sep 18, 2012",T20I # 263
Australia,Ireland,Australia,7 wickets,Colombo (RPS),"Sep 19, 2012",T20I # 264
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,"Dec 8, 2013",T20I # 349
Pakistan,Sri Lanka,Pakistan,3 wickets,Dubai (DSC),"Dec 11, 2013",T20I # 350
Pakistan,Sri Lanka,Sri Lanka,24 runs,Dubai (DSC),"Dec 13, 2013",T20I # 351
Afghanistan,India,India,23 runs,Colombo (RPS),"Sep 19, 2012",T20I # 265
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,"Sep 20, 2012",T20I # 266
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,"Sep 21, 2012",T20I # 267
Afghanistan,England,England,116 runs,Colombo (RPS),"Sep 21, 2012",T20I # 268
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,"Sep 22, 2012",T20I # 269
Australia,West Indies,Australia,17 runs,Colombo (RPS),"Sep 22, 2012",T20I # 270
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,"Sep 23, 2012",T20I # 271
England,India,India,90 runs,Colombo (RPS),"Sep 23, 2012",T20I # 272
Ireland,West Indies,no result,Colombo (RPS),"Sep 24, 2012",T20I # 273,
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,"Sep 25, 2012",T20I # 274
Sri Lanka,New Zealand,tied,Pallekele,"Sep 27, 2012",T20I # 275,
England,West Indies,West Indies,15 runs,Pallekele,"Sep 27, 2012",T20I # 276
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 277
Australia,India,Australia,9 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 278
England,New Zealand,England,6 wickets,Pallekele,"Sep 29, 2012",T20I # 279
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,"Sep 29, 2012",T20I # 280
Australia,South Africa,Australia,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 281
India,Pakistan,India,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 282
New Zealand,West Indies,tied,Pallekele,"Oct 1, 2012",T20I # 283,
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,"Oct 1, 2012",T20I # 284
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),"Oct 2, 2012",T20I # 285
India,South Africa,India,1 run,Colombo (RPS),"Oct 2, 2012",T20I # 286
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),"Oct 4, 2012",T20I # 287
Australia,West Indies,West Indies,74 runs,Colombo (RPS),"Oct 5, 2012",T20I # 288
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),"Oct 7, 2012",T20I # 289
Sri Lanka,New Zealand,no result,Pallekele,"Oct 30, 2012",T20I # 290,
Bangladesh,West Indies,West Indies,18 runs,Dhaka,"Dec 10, 2012",T20I # 291
India,England,India,5 wickets,Pune,"Dec 20, 2012",T20I # 292
South Africa,New Zealand,South Africa,8 wickets,Durban,"Dec 21, 2012",T20I # 293
India,England,England,6 wickets,Mumbai,"Dec 22, 2012",T20I # 294
South Africa,New Zealand,New Zealand,8 wickets,East London,"Dec 23, 2012",T20I # 295
India,Pakistan,Pakistan,5 wickets,Bengaluru,"Dec 25, 2012",T20I # 296
South Africa,New Zealand,South Africa,33 runs,Port Elizabeth,"Dec 26, 2012",T20I # 297
India,Pakistan,India,11 runs,Ahmedabad,"Dec 28, 2012",T20I # 298
New Zealand,West Indies,New Zealand,81 runs,Auckland,"Jan 11, 2014",T20I # 352
New Zealand,West Indies,New Zealand,4 wickets,Wellington,"Jan 15, 2014",T20I # 353
Australia,England,Australia,13 runs,Hobart,"Jan 29, 2014",T20I # 354
Australia,England,Australia,8 wickets,Melbourne,"Jan 31, 2014",T20I # 355
Australia,England,Australia,84 runs,Sydney,"Feb 2, 2014",T20I # 356
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,"Feb 12, 2014",T20I # 357
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,"Feb 14, 2014",T20I # 358
West Indies,Ireland,Ireland,6 wickets,Kingston,"Feb 19, 2014",T20I # 359
West Indies,Ireland,West Indies,11 runs,Kingston,"Feb 21, 2014",T20I # 360
West Indies,England,West Indies,27 runs,Bridgetown,"Mar 9, 2014",T20I # 361
West Indies,England,West Indies,5 wickets,Bridgetown,"Mar 11, 2014",T20I # 362
South Africa,Australia,Australia,5 wickets,Durban,"Mar 12, 2014",T20I # 363
West Indies,England,England,5 runs,Bridgetown,"Mar 13, 2014",T20I # 364
South Africa,Australia,Australia,6 wickets,Centurion,"Mar 14, 2014",T20I # 365
Bangladesh,Afghanistan,Bangladesh,9 wickets,Dhaka,"Mar 16, 2014",T20I # 366
Hong Kong,Nepal,Nepal,80 runs,Chattogram,"Mar 16, 2014",T20I # 367
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,"Mar 17, 2014",T20I # 368
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,"Mar 17, 2014",T20I # 369
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,"Mar 18, 2014",T20I # 370
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014",T20I # 371
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 19, 2014",T20I # 372
Ireland,U.A.E.,Ireland,21 runs,Sylhet,"Mar 19, 2014",T20I # 373
Afghanistan,Nepal,Nepal,9 runs,Chattogram,"Mar 20, 2014",T20I # 374
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,"Mar 20, 2014",T20I # 375
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 21, 2014",T20I # 376
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,"Mar 21, 2014",T20I # 377
India,Pakistan,India,7 wickets,Dhaka,"Mar 21, 2014",T20I # 378
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,"Mar 22, 2014",T20I # 379
England,New Zealand,New Zealand,9 runs,Chattogram,"Mar 22, 2014",T20I # 380
Australia,Pakistan,Pakistan,16 runs,Dhaka,"Mar 23, 2014",T20I # 381
India,West Indies,India,7 wickets,Dhaka,"Mar 23, 2014",T20I # 382
New Zealand,South Africa,South Africa,2 runs,Chattogram,"Mar 24, 2014",T20I # 383
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,"Mar 24, 2014",T20I # 384
Bangladesh,West Indies,West Indies,73 runs,Dhaka,"Mar 25, 2014",T20I # 385
Netherlands,South Africa,South Africa,6 runs,Chattogram,"Mar 27, 2014",T20I # 386
England,Sri Lanka,England,6 wickets,Chattogram,"Mar 27, 2014",T20I # 387
Australia,West Indies,West Indies,6 wickets,Dhaka,"Mar 28, 2014",T20I # 388
Bangladesh,India,India,8 wickets,Dhaka,"Mar 28, 2014",T20I # 389
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,"Mar 29, 2014",T20I # 390
England,South Africa,South Africa,3 runs,Chattogram,"Mar 29, 2014",T20I # 391
Bangladesh,Pakistan,Pakistan,50 runs,Dhaka,"Mar 30, 2014",T20I # 392
Australia,India,India,73 runs,Dhaka,"Mar 30, 2014",T20I # 393
England,Netherlands,Netherlands,45 runs,Chattogram,"Mar 31, 2014",T20I # 394
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,"Mar 31, 2014",T20I # 395
Bangladesh,Australia,Australia,7 wickets,Dhaka,"Apr 1, 2014",T20I # 396
Pakistan,West Indies,West Indies,84 runs,Dhaka,"Apr 1, 2014",T20I # 397
Sri Lanka,West Indies,Sri Lanka,27 runs,Dhaka,"Apr 3, 2014",T20I # 398
India,South Africa,India,6 wickets,Dhaka,"Apr 4, 2014",T20I # 399
India,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Apr 6, 2014",T20I # 400
England,Sri Lanka,Sri Lanka,9 runs,The Oval,"May 20, 2014",T20I # 401
West Indies,New Zealand,New Zealand,12 runs,Roseau,"Jul 5, 2014",T20I # 402
West Indies,New Zealand,West Indies,39 runs,Roseau,"Jul 6, 2014",T20I # 403
West Indies,Bangladesh,no result,Basseterre,"Aug 27, 2014",T20I # 404,
England,India,England,3 runs,Birmingham,"Sep 7, 2014",T20I # 405
Australia,Pakistan,Australia,6 wickets,Dubai (DSC),"Oct 5, 2014",T20I # 406
Australia,South Africa,South Africa,7 wickets,Adelaide,"Nov 5, 2014",T20I # 407
Australia,South Africa,Australia,7 wickets,Melbourne,"Nov 7, 2014",T20I # 408
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 9, 2014",T20I # 409
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),"Nov 24, 2014",T20I # 410
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DSC),"Dec 4, 2014",T20I # 411
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DSC),"Dec 5, 2014",T20I # 412
South Africa,West Indies,West Indies,4 wickets,Cape Town,"Jan 9, 2015",T20I # 413
South Africa,West Indies,West Indies,4 wickets,Johannesburg,"Jan 11, 2015",T20I # 414
South Africa,West Indies,South Africa,69 runs,Durban,"Jan 14, 2015",T20I # 415
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 24, 2015",T20I # 416
Pakistan,Zimbabwe,Pakistan,5 wickets,Lahore,"May 22, 2015",T20I # 417
Pakistan,Zimbabwe,Pakistan,2 wickets,Lahore,"May 24, 2015",T20I # 418
Ireland,Scotland,Scotland,6 wickets,Bready,"Jun 18, 2015",T20I # 419
Ireland,Scotland,no result,Bready,"Jun 19, 2015",T20I # 420,
Ireland,Scotland,Scotland,6 wickets,Bready,"Jun 20, 2015",T20I # 421
Ireland,Scotland,no result,Bready,"Jun 21, 2015",T20I # 422,
England,New Zealand,England,56 runs,Manchester,"Jun 23, 2015",T20I # 423
Netherlands,Nepal,Netherlands,18 runs,Amstelveen,"Jun 30, 2015",T20I # 424
Netherlands,Nepal,Netherlands,103 runs,Amstelveen,"Jul 1, 2015",T20I # 425
Netherlands,Nepal,Netherlands,18 runs,Rotterdam,"Jul 2, 2015",T20I # 426
Netherlands,Nepal,Nepal,3 wickets,Rotterdam,"Jul 3, 2015",T20I # 427
Bangladesh,South Africa,South Africa,52 runs,Dhaka,"Jul 5, 2015",T20I # 428
Bangladesh,South Africa,South Africa,31 runs,Dhaka,"Jul 7, 2015",T20I # 429
Scotland,U.A.E.,Scotland,9 wickets,Edinburgh,"Jul 9, 2015",T20I # 430
Afghanistan,Netherlands,Afghanistan,32 runs,Edinburgh,"Jul 9, 2015",T20I # 431
Afghanistan,U.A.E.,Afghanistan,8 wickets,Edinburgh,"Jul 10, 2015",T20I # 432
Scotland,Netherlands,Netherlands,32 runs,Edinburgh,"Jul 11, 2015",T20I # 433
Netherlands,U.A.E.,Netherlands,7 wickets,Edinburgh,"Jul 12, 2015",T20I # 434
Scotland,Afghanistan,Afghanistan,37 runs,Edinburgh,"Jul 12, 2015",T20I # 435
Ireland,Nepal,Ireland,8 wickets,Belfast,"Jul 13, 2015",T20I # 436
Ireland,P.N.G.,P.N.G.,2 wickets,Belfast,"Jul 15, 2015",T20I # 437
Hong Kong,Nepal,Hong Kong,5 wickets,Belfast,"Jul 15, 2015",T20I # 438
Nepal,P.N.G.,P.N.G.,8 wickets,Dublin (Malahide),"Jul 17, 2015",T20I # 439
Zimbabwe,India,India,54 runs,Harare,"Jul 17, 2015",T20I # 440
Ireland,Hong Kong,Hong Kong,5 runs,Dublin (Malahide),"Jul 17, 2015",T20I # 441
Zimbabwe,India,Zimbabwe,10 runs,Harare,"Jul 19, 2015",T20I # 442
Afghanistan,Hong Kong,Hong Kong,5 wickets,Dublin (Malahide),"Jul 21, 2015",T20I # 443
Afghanistan,P.N.G.,Afghanistan,6 wickets,Dublin (Malahide),"Jul 23, 2015",T20I # 444
Hong Kong,Scotland,Scotland,5 wickets,Dublin (Malahide),"Jul 25, 2015",T20I # 445
Afghanistan,Oman,Afghanistan,5 wickets,Dublin,"Jul 25, 2015",T20I # 446
Ireland,Netherlands,Netherlands,5 wickets,Dublin (Malahide),"Jul 25, 2015",T20I # 447
Sri Lanka,Pakistan,Pakistan,29 runs,Colombo (RPS),"Jul 30, 2015",T20I # 448
Sri Lanka,Pakistan,Pakistan,1 wicket,Colombo (RPS),"Aug 1, 2015",T20I # 449
Zimbabwe,New Zealand,New Zealand,80 runs,Harare,"Aug 9, 2015",T20I # 450
South Africa,New Zealand,South Africa,6 wickets,Durban,"Aug 14, 2015",T20I # 451
South Africa,New Zealand,New Zealand,32 runs,Centurion,"Aug 16, 2015",T20I # 452
England,Australia,England,5 runs,Cardiff,"Aug 31, 2015",T20I # 453
Zimbabwe,Pakistan,Pakistan,13 runs,Harare,"Sep 27, 2015",T20I # 454
Zimbabwe,Pakistan,Pakistan,15 runs,Harare,"Sep 29, 2015",T20I # 455
India,South Africa,South Africa,7 wickets,Dharamsala,"Oct 2, 2015",T20I # 456
India,South Africa,South Africa,6 wickets,Cuttack,"Oct 5, 2015",T20I # 457
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Bulawayo,"Oct 26, 2015",T20I # 458
Zimbabwe,Afghanistan,Afghanistan,5 wickets,Bulawayo,"Oct 28, 2015",T20I # 459
Sri Lanka,West Indies,Sri Lanka,30 runs,Pallekele,"Nov 9, 2015",T20I # 460
Sri Lanka,West Indies,West Indies,23 runs,Colombo (RPS),"Nov 11, 2015",T20I # 461
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,"Nov 13, 2015",T20I # 462
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,"Nov 15, 2015",T20I # 463
Hong Kong,Oman,Oman,6 wickets,Abu Dhabi,"Nov 21, 2015",T20I # 464
U.A.E.,Oman,U.A.E.,7 wickets,Abu Dhabi,"Nov 22, 2015",T20I # 465
Hong Kong,Oman,Oman,4 runs,Abu Dhabi,"Nov 25, 2015",T20I # 466
Hong Kong,Oman,Hong Kong,8 wickets,Abu Dhabi,"Nov 26, 2015",T20I # 467
England,Pakistan,England,14 runs,Dubai (DSC),"Nov 26, 2015",T20I # 468
England,Pakistan,England,3 runs,Dubai (DSC),"Nov 27, 2015",T20I # 469
Afghanistan,Hong Kong,Hong Kong,4 wickets,Abu Dhabi,"Nov 28, 2015",T20I # 470
Afghanistan,Oman,Afghanistan,27 runs,Abu Dhabi,"Nov 29, 2015",T20I # 471
Afghanistan,Oman,Afghanistan,12 runs,Abu Dhabi,"Nov 30, 2015",T20I # 472
England,Pakistan,tied,Sharjah,"Nov 30, 2015",T20I # 473,
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,"Jan 3, 2017",T20I # 574
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,"Jan 6, 2017",T20I # 575
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,"Jan 8, 2017",T20I # 576
Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,"Jan 14, 2017",T20I # 577
Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,"Jan 14, 2017",T20I # 578
Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,"Jan 15, 2017",T20I # 579
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 580
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 581
Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,"Jan 17, 2017",T20I # 582
U.A.E.,Ireland,Ireland,24 runs,Dubai (DSC),"Jan 18, 2017",T20I # 583
Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DSC),"Jan 18, 2017",T20I # 584
Oman,Scotland,Scotland,7 wickets,Dubai (DSC),"Jan 19, 2017",T20I # 585
Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DSC),"Jan 20, 2017",T20I # 586
Ireland,Scotland,Ireland,98 runs,Dubai (DSC),"Jan 20, 2017",T20I # 587
Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DSC),"Jan 20, 2017",T20I # 588
New Zealand,West Indies,no result,Mount Maunganui,"Jan 1, 2018",T20I # 637,
South Africa,Sri Lanka,South Africa,19 runs,Centurion,"Jan 20, 2017",T20I # 589
South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,"Jan 22, 2017",T20I # 590
South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,"Jan 25, 2017",T20I # 591
India,England,England,7 wickets,Kanpur,"Jan 26, 2017",T20I # 592
India,England,India,5 runs,Nagpur,"Jan 29, 2017",T20I # 593
India,England,India,75 runs,Bengaluru,"Feb 1, 2017",T20I # 594
New Zealand,South Africa,South Africa,78 runs,Auckland,"Feb 17, 2017",T20I # 595
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,"Feb 17, 2017",T20I # 596
Australia,Sri Lanka,Sri Lanka,2 wickets,Geelong,"Feb 19, 2017",T20I # 597
Australia,Sri Lanka,Australia,41 runs,Adelaide,"Feb 22, 2017",T20I # 598
Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,"Mar 8, 2017",T20I # 599
Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,"Mar 10, 2017",T20I # 600
Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,"Mar 12, 2017",T20I # 601
West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,"Mar 26, 2017",T20I # 602
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,"Jan 3, 2018",T20I # 638
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 22, 2018",T20I # 639
New Zealand,Pakistan,Pakistan,48 runs,Auckland,"Jan 25, 2018",T20I # 640
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,"Jan 28, 2018",T20I # 641
Australia,New Zealand,Australia,7 wickets,Sydney,"Feb 3, 2018",T20I # 642
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,"Feb 5, 2018",T20I # 643
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,"Feb 6, 2018",T20I # 644
Australia,England,Australia,5 wickets,Hobart,"Feb 7, 2018",T20I # 645
Australia,England,Australia,7 wickets,Melbourne,"Feb 10, 2018",T20I # 646
New Zealand,England,New Zealand,12 runs,Wellington,"Feb 13, 2018",T20I # 647
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 15, 2018",T20I # 648
New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 16, 2018",T20I # 649
New Zealand,England,England,2 runs,Hamilton,"Feb 18, 2018",T20I # 650
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018",T20I # 651
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",T20I # 652
West Indies,Pakistan,Pakistan,3 runs,Port of Spain,"Mar 30, 2017",T20I # 603
West Indies,Pakistan,West Indies,7 wickets,Port of Spain,"Apr 1, 2017",T20I # 604
West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,"Apr 2, 2017",T20I # 605
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Apr 4, 2017",T20I # 606
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),"Apr 6, 2017",T20I # 607
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 12, 2017",T20I # 608
U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,"Apr 14, 2017",T20I # 609
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 14, 2017",T20I # 610
West Indies,Afghanistan,West Indies,6 wickets,Basseterre,"Jun 2, 2017",T20I # 611
West Indies,Afghanistan,West Indies,29 runs,Basseterre,"Jun 3, 2017",T20I # 612
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,"Jun 5, 2017",T20I # 613
England,South Africa,England,9 wickets,Southampton,"Jun 21, 2017",T20I # 614
England,South Africa,South Africa,3 runs,Taunton,"Jun 23, 2017",T20I # 615
New Zealand,Australia,Australia,19 runs,Auckland,"Feb 21, 2018",T20I # 653
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",T20I # 654
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",T20I # 655
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",T20I # 656
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",T20I # 657
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),"Mar 10, 2018",T20I # 658
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Mar 12, 2018",T20I # 659
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018",T20I # 660
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),"Mar 16, 2018",T20I # 661
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018",T20I # 662
Pakistan,West Indies,Pakistan,143 runs,Karachi,"Apr 1, 2018",T20I # 663
Pakistan,West Indies,Pakistan,82 runs,Karachi,"Apr 2, 2018",T20I # 664
England,South Africa,England,19 runs,Cardiff,"Jun 25, 2017",T20I # 616
West Indies,India,West Indies,9 wickets,Kingston,"Jul 9, 2017",T20I # 617
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Sep 6, 2017",T20I # 618
Pakistan,World-XI,Pakistan,20 runs,Lahore,"Sep 12, 2017",T20I # 619
Pakistan,World-XI,World-XI,7 wickets,Lahore,"Sep 13, 2017",T20I # 620
Pakistan,World-XI,Pakistan,33 runs,Lahore,"Sep 15, 2017",T20I # 621
England,West Indies,West Indies,21 runs,Chester-le-Street,"Sep 16, 2017",T20I # 622
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",T20I # 623
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",T20I # 624
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 26, 2017",T20I # 625
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017",T20I # 626
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,"Oct 27, 2017",T20I # 627
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017",T20I # 628
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Apr 3, 2018",T20I # 665
ICC World XI,West Indies,West Indies,72 runs,Lord's,"May 31, 2018",T20I # 666
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,"Jun 3, 2018",T20I # 667
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,"Jun 5, 2018",T20I # 668
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,"Jun 7, 2018",T20I # 669
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,"Jun 12, 2018",T20I # 670
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,"Jun 12, 2018",T20I # 671
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,"Jun 13, 2018",T20I # 672
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,"Jun 13, 2018",T20I # 673
Ireland,Scotland,Ireland,46 runs,Deventer,"Jun 16, 2018",T20I # 674
Ireland,Scotland,tied,Deventer,"Jun 17, 2018",T20I # 675,
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,"Jun 19, 2018",T20I # 676
Netherlands,Scotland,Scotland,115 runs,Amstelveen,"Jun 20, 2018",T20I # 677
Ireland,India,India,76 runs,Dublin (Malahide),"Jun 27, 2018",T20I # 678
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,"Oct 29, 2017",T20I # 629
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",T20I # 633
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",T20I # 634
India,Sri Lanka,India,5 wickets,Mumbai,"Dec 24, 2017",T20I # 635
New Zealand,West Indies,New Zealand,47 runs,Nelson,"Dec 29, 2017",T20I # 636
England,Australia,England,28 runs,Birmingham,"Jun 27, 2018",T20I # 679
Ireland,India,India,143 runs,Dublin (Malahide),"Jun 29, 2018",T20I # 680
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,"Jul 1, 2018",T20I # 681
Australia,Pakistan,Australia,9 wickets,Harare,"Jul 2, 2018",T20I # 682
Zimbabwe,Australia,Australia,100 runs,Harare,"Jul 3, 2018",T20I # 683
England,India,India,8 wickets,Manchester,"Jul 3, 2018",T20I # 684
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Jul 4, 2018",T20I # 685
Australia,Pakistan,Pakistan,45 runs,Harare,"Jul 5, 2018",T20I # 686
Zimbabwe,Australia,Australia,5 wickets,Harare,"Jul 6, 2018",T20I # 687
England,India,England,5 wickets,Cardiff,"Jul 6, 2018",T20I # 688
Australia,Pakistan,Pakistan,6 wickets,Harare,"Jul 8, 2018",T20I # 689
England,India,India,7 wickets,Bristol,"Jul 8, 2018",T20I # 690
Nepal,Netherlands,no result,Lord's,"Jul 29, 2018",T20I # 691,
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,"Jul 31, 2018",T20I # 692
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,"Jan 7, 2016",T20I # 474
India,Sri Lanka,no result,Guwahati,"Jan 5, 2020",T20I # 1025,
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,"Aug 4, 2018",T20I # 693
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,"Aug 5, 2018",T20I # 694
Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),"Aug 14, 2018",T20I # 695
Ireland,Afghanistan,Afghanistan,16 runs,Bready,"Aug 20, 2018",T20I # 696
Ireland,Afghanistan,Afghanistan,81 runs,Bready,"Aug 22, 2018",T20I # 697
South Africa,Zimbabwe,South Africa,34 runs,East London,"Oct 9, 2018",T20I # 698
South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,"Oct 12, 2018",T20I # 699
U.A.E.,Australia,Australia,7 wickets,Tolerance Oval,"Oct 22, 2018",T20I # 700
Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,"Oct 24, 2018",T20I # 701
Australia,Pakistan,Pakistan,11 runs,Dubai (DSC),"Oct 26, 2018",T20I # 702
Sri Lanka,England,England,30 runs,Colombo (RPS),"Oct 27, 2018",T20I # 703
Australia,Pakistan,Pakistan,33 runs,Dubai (DSC),"Oct 28, 2018",T20I # 704
New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,"Oct 31, 2018",T20I # 705
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,"Jan 8, 2016",T20I # 475
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,"Jan 10, 2016",T20I # 476
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,"Jan 10, 2016",T20I # 477
New Zealand,Pakistan,Pakistan,16 runs,Auckland,"Jan 15, 2016",T20I # 478
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016",T20I # 479
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,"Jan 17, 2016",T20I # 480
