team1,team2,winner,margin,venue,match_date,match_no
Pakistan,Scotland,Pakistan,51 runs,Durban,"Sep 12, 2007",T20I # 22
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,"Sep 12, 2007",T20I # 23
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007",T20I # 24
England,Zimbabwe,England,50 runs,Cape Town,"Sep 13, 2007",T20I # 25
India,Scotland,no result,Durban,"Sep 13, 2007",T20I # 26,
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,"Sep 14, 2007",T20I # 27
Australia,South Africa,Australia,52 runs,Melbourne,"Jan 11, 2009",T20I # 80
Australia,England,Australia,8 wickets,Cape Town,"Sep 14, 2007",T20I # 28
India,Pakistan,tied,Durban,"Sep 14, 2007",T20I # 29,
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,"Sep 15, 2007",T20I # 30
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007",T20I # 31
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32
Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007",T20I # 33
South Africa,England,South Africa,19 runs,Cape Town,"Sep 16, 2007",T20I # 34
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,"Sep 17, 2007",T20I # 35
England,New Zealand,New Zealand,5 runs,Durban,"Sep 18, 2007",T20I # 36
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,"Sep 18, 2007",T20I # 37
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007",T20I # 38
South Africa,New Zealand,South Africa,6 wickets,Durban,"Sep 19, 2007",T20I # 39
England,India,India,18 runs,Durban,"Sep 19, 2007",T20I # 40
Australia,South Africa,Australia,6 wickets,Brisbane,"Jan 13, 2009",T20I # 81
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Feb 10, 2009",T20I # 82
Australia,New Zealand,Australia,1 run,Sydney,"Feb 15, 2009",T20I # 83
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",T20I # 84
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",T20I # 85
West Indies,England,West Indies,6 wickets,Port of Spain,"Mar 15, 2009",T20I # 86
South Africa,Australia,South Africa,4 wickets,Johannesburg,"Mar 27, 2009",T20I # 87
South Africa,Australia,South Africa,17 runs,Centurion,"Mar 29, 2009",T20I # 88
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),"May 7, 2009",T20I # 89
England,Netherlands,Netherlands,4 wickets,Lord's,"Jun 5, 2009",T20I # 90
New Zealand,Scotland,New Zealand,7 wickets,The Oval,"Jun 6, 2009",T20I # 91
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 6, 2009",T20I # 92
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009",T20I # 93
Scotland,South Africa,South Africa,130 runs,The Oval,"Jun 7, 2009",T20I # 94
England,Pakistan,England,48 runs,The Oval,"Jun 7, 2009",T20I # 95
Australia,Sri Lanka,Australia,10 wickets,Cape Town,"Sep 20, 2007",T20I # 41
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007",T20I # 42
South Africa,India,India,37 runs,Durban,"Sep 20, 2007",T20I # 43
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,"Sep 22, 2007",T20I # 44
Australia,India,India,15 runs,Durban,"Sep 22, 2007",T20I # 45
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46
India,Australia,India,7 wickets,Mumbai (BS),"Oct 20, 2007",T20I # 47
South Africa,New Zealand,South Africa,3 wickets,Johannesburg,"Nov 23, 2007",T20I # 48
Australia,New Zealand,Australia,54 runs,Perth,"Dec 11, 2007",T20I # 49
South Africa,West Indies,West Indies,5 wickets,Port Elizabeth,"Dec 16, 2007",T20I # 50
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,"Jun 8, 2009",T20I # 96
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,"Jun 8, 2009",T20I # 97
Netherlands,Pakistan,Pakistan,82 runs,Lord's,"Jun 9, 2009",T20I # 98
New Zealand,South Africa,South Africa,1 run,Lord's,"Jun 9, 2009",T20I # 99
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,"Jun 10, 2009",T20I # 100
India,Ireland,India,8 wickets,Nottingham,"Jun 10, 2009",T20I # 101
Ireland,New Zealand,New Zealand,83 runs,Nottingham,"Jun 11, 2009",T20I # 102
England,South Africa,South Africa,7 wickets,Nottingham,"Jun 11, 2009",T20I # 103
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,"Jun 12, 2009",T20I # 104
India,West Indies,West Indies,7 wickets,Lord's,"Jun 12, 2009",T20I # 105
South Africa,West Indies,South Africa,20 runs,The Oval,"Jun 13, 2009",T20I # 106
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,"Jun 13, 2009",T20I # 107
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,"Jun 14, 2009",T20I # 108
England,India,England,3 runs,Lord's,"Jun 14, 2009",T20I # 109
Ireland,Pakistan,Pakistan,39 runs,The Oval,"Jun 15, 2009",T20I # 110
England,West Indies,West Indies,5 wickets,The Oval,"Jun 15, 2009",T20I # 111
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,"Jun 16, 2009",T20I # 112
India,South Africa,South Africa,12 runs,Nottingham,"Jun 16, 2009",T20I # 113
Pakistan,South Africa,Pakistan,7 runs,Nottingham,"Jun 18, 2009",T20I # 114
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,"Jun 19, 2009",T20I # 115
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,"Jun 21, 2009",T20I # 116
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,"Aug 2, 2009",T20I # 117
